,char,dialog,movie,birth,death,gender,race
61,FRODO,Not quite. There's room for a little more.,The Return of the King ,,,Other,Hobbits
62,FRODO,"Bilbo once told me his part in this tale would end. That each of us must come and go in the telling. Bilbo's story was now over. There would be no more journeys for him. , save one.",The Return of the King ,,,Other,Hobbits
63,BILBO,"Tell me again lad, where are we going?",The Return of the King ,,,Other,Hobbits
64,FRODO,To the harbour Bilbo. The elves have accorded you a special honour. A place on the last ship to leave Middle Earth.,The Return of the King ,,,Other,Hobbits
65,BILBO,"Frodo, any chance of seeing that old Ring of mine again? The one I gave you?",The Return of the King ,,,Other,Hobbits
66,PIPPIN,"We are sitting on a field of victory enjoying a few well earned comforts , The salted pork is particularly good.",The Return of the King ,,,Other,Hobbits
67,GIMLI,Salted pork',The Return of the King ,TA 2879,"Unknown (Departed to ,Aman ,FO 120,)",Male,Dwarves
68,GANDALF,Hobbits!,The Return of the King ,Before the the Shaping of Arda,"January 253019 ,Battle of the Peak immortal",Male,Maiar
69,MERRY,We're under orders from Treebeard who's taken over management of Isengard.,The Return of the King ,,,Other,Hobbits
70,TREEBEARD,"Hoooom, young master Gandalf, I'm glad you've come. Wood and water, stock and stone I can master, but there is a Wizard to manage here locked in his tower",The Return of the King ,YT,,Male,Ents
71,ARAGORN,", Show yourself.",The Return of the King ,,,Other,Men
72,GANDALF,"Be careful. Even in defeat, Saruman is dangerous.",The Return of the King ,Before the the Shaping of Arda,"January 253019 ,Battle of the Peak immortal",Male,Maiar
73,GIMLI,Well then let's just have his head and be done with it.,The Return of the King ,TA 2879,"Unknown (Departed to ,Aman ,FO 120,)",Male,Dwarves
74,GANDALF,"No, we need him alive. We need him to talk.",The Return of the King ,Before the the Shaping of Arda,"January 253019 ,Battle of the Peak immortal",Male,Maiar
75,SARUMAN,"You have fought many wars and slain many men Theoden King and made peace afterwards. Can we not take counsel together as we once did, my old friend?Can we not have peace you and I?",The Return of the King ,"Before the creation of ,Arda","3 November ,3019",Male,Maiar
76,THEODEN,We shall have peace'. We shall have peace when you answer for the burning of the Westfold and the children that lie dead there! We shall have peace when the lives of the soldiers whose bodies were hewn even as they lay dead against the gates of the Hornburg' are avenged! When you hang from a gibbet for the sport of your own crows' we shall have peace!,The Return of the King ,,,Other,Men
77,SARUMAN,Gibbets and crows! Dotard! What do you want Gandalf Grahame? Let me guess' the key of Orthanc? Or perhaps the keys of Barad D'r itself? Along with the crowns of the seven Kings and the rods of the Five Wizards!,The Return of the King ,"Before the creation of ,Arda","3 November ,3019",Male,Maiar
78,GANDALF,Your treachery has already cost many lives. Thousands more are now at risk. But you could save them Saruman. You were deep in the enemy's counsel.,The Return of the King ,Before the the Shaping of Arda,"January 253019 ,Battle of the Peak immortal",Male,Maiar
79,FRODO,I'm sorry uncle. I'm afraid I lost it.,The Return of the King ,,,Other,Hobbits
80,BILBO,"Oh, pity. (He sighs.) I would have like to have held it one last time.",The Return of the King ,,,Other,Hobbits
81,BILBO,Oh! Well here is a sight I have never seen before.,The Return of the King ,,,Other,Hobbits
82,GALADRIEL,The power of the three rings is ended. The time has come for the dominion of men.,The Return of the King ,YT 1362,"Still alive: Departed over the sea on ,September 29 ,3021",Female,Elves
83,ELROND,I Aear c'n ven na mar.,The Return of the King ,FA 532,"Still alive; departed to ,Aman, on ,September 29 ,3021",Male,Elves
84,BILBO,I think I'm quite ready for another adventure.,The Return of the King ,,,Other,Hobbits
85,GANDALF,"Farewell my brave Hobbits. , My work is now finished. ,Here at last, on the shores of the sea, comes the end of our Fellowship. , I will not say do not weep for not all tears are an evil. , It is time Frodo.",The Return of the King ,Before the the Shaping of Arda,"January 253019 ,Battle of the Peak immortal",Male,Maiar
86,SAM,What does he mean?,The Return of the King ,,,Other,Hobbits
87,FRODO,"We set out to save the Shire Sam and it has been saved, but not for me.",The Return of the King ,,,Other,Hobbits
88,SAM,", You don't mean that. You can't leave.",The Return of the King ,,,Other,Hobbits
89,FRODO,The last pages are for you Sam.,The Return of the King ,,,Other,Hobbits
90,SARUMAN,"So you have come here for information. I have some for you. ,Something festers in the heart of Middle Earth. Something that you have failed to see. But the great eye has seen it! Even now he presses his advantage. His attack will come soon. , You are all going to die! But you know this don't you Gandalf? You cannot think that this Ranger will ever sit upon the throne of Gondor. This exile, crept from the shadows will never be crowned King. ,Gandalf does not hesitate to sacrifice those who are closest to him' those he professes to love! Tell me, what words of comfort did you give the Halfling before you sent him to his doom? The path that you have set him on can only lead to death.",The Return of the King ,"Before the creation of ,Arda","3 November ,3019",Male,Maiar
91,GIMLI,I've heard enough! Shoot him! Stick an arrow in his gob!,The Return of the King ,TA 2879,"Unknown (Departed to ,Aman ,FO 120,)",Male,Dwarves
92,GANDALF,No! Come down Saruman and your life will be spared!,The Return of the King ,Before the the Shaping of Arda,"January 253019 ,Battle of the Peak immortal",Male,Maiar
93,SARUMAN,Save your pity and your mercy. I have no use for it!,The Return of the King ,"Before the creation of ,Arda","3 November ,3019",Male,Maiar
94,GANDALF,Saruman'.. your staff is broken!,The Return of the King ,Before the the Shaping of Arda,"January 253019 ,Battle of the Peak immortal",Male,Maiar
95,THEODEN,Grima! You need not follow him! You were not always as you are now. You were once a man of Rohan. Come down.,The Return of the King ,,,Other,Men
96,SARUMAN,A man of Rohan? What is the house of Rohan but a thatched barn where brigands drink in the reek and their brats roll on the floor with the dogs? The victory at Helms Deep does not belong to you Theoden Horse Master. You are a lesser son of greater sires!,The Return of the King ,"Before the creation of ,Arda","3 November ,3019",Male,Maiar
97,THEODEN,Grima'. Come down! Be free of him!,The Return of the King ,,,Other,Men
98,SARUMAN,Free? He will never be free!,The Return of the King ,"Before the creation of ,Arda","3 November ,3019",Male,Maiar
99,GRIMA,No!,The Return of the King ,,,Other,Men
100,FRODO,"My dear Sam, you cannot always be torn in two. , You will have to be one and whole for many years. You have so much to enjoy and to be and to do. Your part in the story will go on.",The Return of the King ,,,Other,Hobbits
101,SAM,"Well, I'm back.",The Return of the King ,,,Other,Hobbits
102,PIPPIN,I didn't think it would end this way.,The Return of the King ,,,Other,Hobbits
103,GANDALF,"End? No, the journey doesn't end here. Death is just another path, one that we all must take. , The grey rain curtain of this world rolls back and all turns to silvered glass. And then you see it.",The Return of the King ,Before the the Shaping of Arda,"January 253019 ,Battle of the Peak immortal",Male,Maiar
104,PIPPIN,What? Gandalf? See what?,The Return of the King ,,,Other,Hobbits
105,GANDALF,"White shores and beyond, a far green country under a swift sunrise.",The Return of the King ,Before the the Shaping of Arda,"January 253019 ,Battle of the Peak immortal",Male,Maiar
106,PIPPIN,"Well, , that's not so bad.",The Return of the King ,,,Other,Hobbits
107,GANDALF,No. No it isn't.,The Return of the King ,Before the the Shaping of Arda,"January 253019 ,Battle of the Peak immortal",Male,Maiar
108,THEODEN,Rally to me! To meeee!,The Return of the King ,,,Other,Men
109,WITCH KING,Feast on his flesh.,The Return of the King ,,,Other,Wraith/Undead
110,EOWYN,I will kill you if you touch him.,The Return of the King ,TA 2995,FO,Female,Men
111,EOWYN,The City has fallen silent. There is no warmth left in the sun.,The Return of the King ,TA 2995,FO,Female,Men
112,EOWYN,It grows so cold.,The Return of the King ,TA 2995,FO,Female,Men
113,FARAMIR,It's just the damp of the first spring rain.,The Return of the King ,TA 2983,"February 26 ,82",Male,Men
114,FARAMIR,I do not believe this darkness will endure.,The Return of the King ,TA 2983,"February 26 ,82",Male,Men
115,SAM,"Look! The Orcs, they're moving off!",The Return of the King ,,,Other,Hobbits
116,SARUMAN,Get down cur!,The Return of the King ,"Before the creation of ,Arda","3 November ,3019",Male,Maiar
117,GRIMA,Ah!,The Return of the King ,,,Other,Men
118,GANDALF,Saruman! You were deep in the enemy's counsel. Tell us what you know!,The Return of the King ,Before the the Shaping of Arda,"January 253019 ,Battle of the Peak immortal",Male,Maiar
119,SARUMAN,You withdraw your guard and I will tell you where your doom will be decided. I will not be held prisoner here!,The Return of the King ,"Before the creation of ,Arda","3 November ,3019",Male,Maiar
120,GANDALF,Send word to all our allies and to every corner of Middle Earth that still stands free. The enemy moves against us. We need to know where he will strike.,The Return of the King ,Before the the Shaping of Arda,"January 253019 ,Battle of the Peak immortal",Male,Maiar
121,TREEBEARD,"The filth of Saruman is washing away. Trees will come back to live here. ,Young trees. Wild trees.",The Return of the King ,YT,,Male,Ents
122,ARAGORN,Pippin!,The Return of the King ,,,Other,Men
123,TREEBEARD,Bless my bark!,The Return of the King ,YT,,Male,Ents
124,GANDALF,Peregrin Took. I'll take that my lad! Quickly now!,The Return of the King ,Before the the Shaping of Arda,"January 253019 ,Battle of the Peak immortal",Male,Maiar
125,WITCH KING,Do not come between the Nazg'l and his prey.,The Return of the King ,,,Other,Wraith/Undead
126,ORC,"Late as usual, pirate scum. , There's knifework here needs doing. Come on you sea rats, get off your ships.",The Return of the King ,,,Other,Uruk-hai/Orcs
127,GIMLI,"There's plenty for the both of us, may be best Dwarf win!",The Return of the King ,TA 2879,"Unknown (Departed to ,Aman ,FO 120,)",Male,Dwarves
128,WITCH KING,You fool! No man can kill me. Die now!,The Return of the King ,,,Other,Wraith/Undead
129,EOWYN,I am no man!,The Return of the King ,TA 2995,FO,Female,Men
130,SAM,You see Mr Frodo some luck at last!,The Return of the King ,,,Other,Hobbits
131,ORC,"Move it, you slugs!",The Return of the King ,,,Other,Uruk-hai/Orcs
132,ORC,Come on! Faster!,The Return of the King ,,,Other,Uruk-hai/Orcs
133,ORC,"Come along you scum! , I'll whip you down to the bone! Come on! What have I told you. , Get up! , Come on you slugs! You two are going straight to the front line! Move it, come on! Fall in! Move it! Move it! Move it!",The Return of the King ,,,Other,Uruk-hai/Orcs
134,ORC,"To the gate you slugs, now move it! , Don't you know we're at war?",The Return of the King ,,,Other,Uruk-hai/Orcs
135,ORC,Company halt! Inspection!,The Return of the King ,,,Other,Uruk-hai/Orcs
136,FRODO,Sam! Help me!,The Return of the King ,,,Other,Hobbits
137,SAM,Mr Frodo!,The Return of the King ,,,Other,Hobbits
138,SAM,Stand up Mr Frodo. Stand up!,The Return of the King ,,,Other,Hobbits
139,FRODO,It's so heavy!,The Return of the King ,,,Other,Hobbits
140,SAM,"Oh no! What do I do? , What do I do?",The Return of the King ,,,Other,Hobbits
141,FRODO,Hit me! Hit me Sam! Start fighting!,The Return of the King ,,,Other,Hobbits
142,SAM,"Get off of me! , Nobody pushes me you filthy maggot! , Get off of me!",The Return of the King ,,,Other,Hobbits
143,GANDALF,Retreat! The city is breached. Fall back to the second level. Get the women and children out. Get them out. Retreat.,The Return of the King ,Before the the Shaping of Arda,"January 253019 ,Battle of the Peak immortal",Male,Maiar
144,SOLDIERS ON GATE,"Come on, come on!",The Return of the King ,,,Other,Men
145,GOTHMOG,Move into the city. Kill all in your path.,The Return of the King ,"Before the creation of ,Arda",FA 510,Male,Uruk-hai/Orcs
146,ORC,Break it up! Break it up!,The Return of the King ,,,Other,Uruk-hai/Orcs
147,GENERAL,Oy! I'll have your guts if you don't shut this rabble down!,The Return of the King ,,,Other,Uruk-hai/Orcs
148,FRODO,Go Sam. Now!,The Return of the King ,,,Other,Hobbits
149,GENERAL,Move along scum!,The Return of the King ,,,Other,Uruk-hai/Orcs
150,CAPTAIN,Get back in the line you maggots! Get back in the line you slugs!,The Return of the King ,,,Other,Uruk-hai/Orcs
151,FRODO,I can't! I can't' I can't manage the Ring Sam. It's' it's' such a weight to carry. It's such a weight.,The Return of the King ,,,Other,Hobbits
152,SOLDIER,Take them down!,The Return of the King ,,,Other,Men
153,GANDALF,Fight! Fight to the last man. Fight for your lives.,The Return of the King ,Before the the Shaping of Arda,"January 253019 ,Battle of the Peak immortal",Male,Maiar
154,PIPPIN,"Gandalf! , Gandalf! Denethor has lost his mind. He's burning Faramir alive!",The Return of the King ,,,Other,Hobbits
155,GANDALF,Up! Quickly!,The Return of the King ,Before the the Shaping of Arda,"January 253019 ,Battle of the Peak immortal",Male,Maiar
156,GANDALF,", Go back to the abyss! Fall into the nothingness that awaits you and your master!",The Return of the King ,Before the the Shaping of Arda,"January 253019 ,Battle of the Peak immortal",Male,Maiar
157,WITCH KING,"Do you not know death when you see it, old man? , This is my hour!",The Return of the King ,,,Other,Wraith/Undead
158,PIPPIN,Gandalf!,The Return of the King ,,,Other,Hobbits
159,PIPPIN,"AAAAhhh! ,",The Return of the King ,,,Other,Hobbits
160,WITCH KING,You have failed! The world of men will fall.,The Return of the King ,,,Other,Wraith/Undead
161,SAM,", We're going that way, straight as we can. There's no point carrying anything we're not sure to need.",The Return of the King ,,,Other,Hobbits
162,SAM,"Mr Frodo, look. , There is light and beauty up there that no shadow can touch.",The Return of the King ,,,Other,Hobbits
163,SAM,"Take mine. , There's a few drops left.",The Return of the King ,,,Other,Hobbits
164,FRODO,There will be none left for the return journey.,The Return of the King ,,,Other,Hobbits
165,SAM,I don't think there will be a return journey Mr Frodo.,The Return of the King ,,,Other,Hobbits
166,SAM,"Frodo, get down! , Hide!",The Return of the King ,,,Other,Hobbits
167,SAM,Frodo!,The Return of the King ,,,Other,Hobbits
168,PIPPIN,Where are they?,The Return of the King ,,,Other,Hobbits
169,ARAGORN,"Let the Lord of the Black Land come forth! , Let justice be done upon him!",The Return of the King ,,,Other,Men
170,MOUTH OF SAURON,My master Sauron the Great bids thee welcome.,The Return of the King ,First Age,"Probably died on ,March 25TA 3019, during destruction of ,Mordor",Male,Men
171,MOUTH OF SAURON,Is there any in this rout with authority to treat with me?,The Return of the King ,First Age,"Probably died on ,March 25TA 3019, during destruction of ,Mordor",Male,Men
172,GANDALF,"We do not come to treat with Sauron, faithless and accursed. Tell your master this. The armies of Mordor must disband. He is to depart these lands, never to return.",The Return of the King ,Before the the Shaping of Arda,"January 253019 ,Battle of the Peak immortal",Male,Maiar
173,EOWYN,Courage Merry. Courage for our friends.,The Return of the King ,TA 2995,FO,Female,Men
174,GOTHMOG,"Form ranks you maggots. Form ranks. Pikes in front, archers behind.",The Return of the King ,"Before the creation of ,Arda",FA 510,Male,Uruk-hai/Orcs
175,THEODEN,"Eomer, take your Eored down the left flank",The Return of the King ,,,Other,Men
176,EOMER,Flank ready!,The Return of the King ,TA 2990,FO 63,Male,Men
177,THEODEN,"Gamling, follow the King's banner down the centre. Grimbold! Take your company right after you pass the wall. Forth and fear no darkness! , Arise! Arise riders of Theoden. Spears shall be shaken, shields shall be splintered, a sword day, a red day ere the sun rises!!",The Return of the King ,,,Other,Men
178,EOWYN,"Whatever happens, stay with me. I'll look after you.",The Return of the King ,TA 2995,FO,Female,Men
179,THEODEN,"Ride now, ride now! Ride! Ride for ruin and the world's ending! DEATH!",The Return of the King ,,,Other,Men
180,ARMY,DEATH!,The Return of the King ,,,Other,Uruk-hai/Orcs
181,THEODEN,DEATH!,The Return of the King ,,,Other,Men
182,ARMY,DEATH!,The Return of the King ,,,Other,Uruk-hai/Orcs
183,THEODEN,DEATH!,The Return of the King ,,,Other,Men
184,THEODEN,DEATH!,The Return of the King ,,,Other,Men
185,MOUTH OF SAURON,Aha! Old Greybeard! I have a token I was bidden to show thee.,The Return of the King ,First Age,"Probably died on ,March 25TA 3019, during destruction of ,Mordor",Male,Men
186,PIPPIN,Frodo!,The Return of the King ,,,Other,Hobbits
187,PIPPIN,Frodo!,The Return of the King ,,,Other,Hobbits
188,GANDALF,Silence!,The Return of the King ,Before the the Shaping of Arda,"January 253019 ,Battle of the Peak immortal",Male,Maiar
189,MERRY,No!,The Return of the King ,,,Other,Hobbits
190,GANDALF,Silence!,The Return of the King ,Before the the Shaping of Arda,"January 253019 ,Battle of the Peak immortal",Male,Maiar
191,MOUTH OF SAURON,"The Halfling was dear to thee I see. Know that he suffered greatly at the hands of his host. Who would've thought one so small could endure so much pain? And he did Gandalf, he did.",The Return of the King ,First Age,"Probably died on ,March 25TA 3019, during destruction of ,Mordor",Male,Men
192,ARAGORN,You may go no further.,The Return of the King ,,,Other,Men
193,ARAGORN,You will not enter Gondor,The Return of the King ,,,Other,Men
194,BOSON,Who are you to deny us passage?,The Return of the King ,,,Other,Men
195,ARAGORN,"Legolas, fire a warning shot past the boson's ear.",The Return of the King ,,,Other,Men
196,GIMLI,Mind your aim.,The Return of the King ,TA 2879,"Unknown (Departed to ,Aman ,FO 120,)",Male,Dwarves
197,GIMLI,"Oh! , That's it, right, we warned you! Prepare to be boarded!",The Return of the King ,TA 2879,"Unknown (Departed to ,Aman ,FO 120,)",Male,Dwarves
198,MERCENARY,"Boarded, by you and whose army?",The Return of the King ,,,Other,Men
199,EOWYN,DEATH!,The Return of the King ,TA 2995,FO,Female,Men
200,THEODEN,Forth Eorlingas!,The Return of the King ,,,Other,Men
201,GOTHMOG,FIRE!,The Return of the King ,"Before the creation of ,Arda",FA 510,Male,Uruk-hai/Orcs
202,MERRY,DEEEEAAATH!,The Return of the King ,,,Other,Hobbits
203,THEODEN,CHAAAAARGE!,The Return of the King ,,,Other,Men
204,GOTHMOG,Fire at will!,The Return of the King ,"Before the creation of ,Arda",FA 510,Male,Uruk-hai/Orcs
205,DENETHOR,Set a fire in our flesh!,The Return of the King ,,,Other,Men
206,GANDALF,Stay this madness!,The Return of the King ,Before the the Shaping of Arda,"January 253019 ,Battle of the Peak immortal",Male,Maiar
207,DENETHOR,"You may triumph in the field of battle for a day, but against the power that has risen in the east, there is no victory!",The Return of the King ,,,Other,Men
208,DENETHOR,"NOOOOOO, you will not take my son from me!",The Return of the King ,,,Other,Men
209,PIPPIN,NO! Aaahhh,The Return of the King ,,,Other,Hobbits
210,DENETHOR,Faramir!,The Return of the King ,,,Other,Men
211,DENETHOR,Aaaaaahhhh!,The Return of the King ,,,Other,Men
212,GANDALF,"So passes Denethor, son of Ecthelion.",The Return of the King ,Before the the Shaping of Arda,"January 253019 ,Battle of the Peak immortal",Male,Maiar
213,MOUTH OF SAURON,And who is this? Isildur's heir? It takes more to make a King than a broken Elvish blade.,The Return of the King ,First Age,"Probably died on ,March 25TA 3019, during destruction of ,Mordor",Male,Men
214,GIMLI,I guess that concludes negotiations.,The Return of the King ,TA 2879,"Unknown (Departed to ,Aman ,FO 120,)",Male,Dwarves
215,ARAGORN,I do not believe it. I will not.,The Return of the King ,,,Other,Men
216,ARAGORN,This army.,The Return of the King ,,,Other,Men
217,GOLLUM,In there.,The Return of the King ,TA 2430,"March 25 ,3019",Male,Hobbits
218,FRODO,What is this place?,The Return of the King ,,,Other,Hobbits
219,GOLLUM,Master must go inside the tunnel.,The Return of the King ,TA 2430,"March 25 ,3019",Male,Hobbits
220,FRODO,Now that I'm here I don't think I want to.,The Return of the King ,,,Other,Hobbits
221,GOLLUM,It's the only way. Go in' or go back.,The Return of the King ,TA 2430,"March 25 ,3019",Male,Hobbits
222,FRODO,I can't go back.,The Return of the King ,,,Other,Hobbits
223,FRODO,What's that smell.,The Return of the King ,,,Other,Hobbits
224,GOLLUM,Orcses' filth. Orcses come in here sometimes.,The Return of the King ,TA 2430,"March 25 ,3019",Male,Hobbits
225,GOLLUM,Hurry! This way.,The Return of the King ,TA 2430,"March 25 ,3019",Male,Hobbits
226,FRODO,Smeagol?,The Return of the King ,,,Other,Hobbits
227,GOLLUM,Over here.,The Return of the King ,TA 2430,"March 25 ,3019",Male,Hobbits
228,FRODO,"Ah aah! Its sticky, what is it?",The Return of the King ,,,Other,Hobbits
229,GOLLUM,"You'll see. Oh yes, you will see.",The Return of the King ,TA 2430,"March 25 ,3019",Male,Hobbits
230,EOMER,"Drive them to the river. ,",The Return of the King ,TA 2990,FO 63,Male,Men
231,THEODEN,"Make safe the city.,",The Return of the King ,,,Other,Men
232,THEODEN,"Re-form the line! Re-form the line!,",The Return of the King ,,,Other,Men
233,THEODEN,"Sound the charge. Take them head-on. Chaaarge! ,",The Return of the King ,,,Other,Men
234,ROHIRRIM,"Cut him down! ,",The Return of the King ,,,Other,Men
235,EOWYN,"Take the reins, pull him left. , LEFT! ,",The Return of the King ,TA 2995,FO,Female,Men
236,EOMER,"Aim for the heads! ,",The Return of the King ,TA 2990,FO 63,Male,Men
237,THEODEN,"Bring it down! Bring it down! Bring it down!,",The Return of the King ,,,Other,Men
238,EOWYN,"Merry! ,",The Return of the King ,TA 2995,FO,Female,Men
239,FRODO,Smeagol? (shouts) SMEAGOL! SMEAGOL!,The Return of the King ,,,Other,Hobbits
240,FRODO,Sam.,The Return of the King ,,,Other,Hobbits
241,SAM,Ow!,The Return of the King ,,,Other,Hobbits
242,GALADRIEL,"And you Frodo Baggins, I give you the light of E'rendil, our most beloved star. , May it be a light for you in dark places, when all other lights go out.",The Return of the King ,YT 1362,"Still alive: Departed over the sea on ,September 29 ,3021",Female,Elves
243,FRODO,Aiya E'rendil Elenion Ancalim',The Return of the King ,,,Other,Hobbits
244,GOLLUM,"Naughty little fly. Why does he cry? ,Caught in a web. Soon you'll be eaten.",The Return of the King ,TA 2430,"March 25 ,3019",Male,Hobbits
245,GOLLUM,Got away did it precious? Not this time. Not this time.,The Return of the King ,TA 2430,"March 25 ,3019",Male,Hobbits
246,FRODO,NO!,The Return of the King ,,,Other,Hobbits
247,SMEAGOL,"It wasn't us. It wasn't us. ,Smeagol wouldn't hurt master. We promised. You must believe us. It was the precious. The precious made us do it.",The Return of the King ,TA 2430,"March 25 ,3019",Male,Hobbits
248,FRODO,"I have to destroy it Smeagol. , I have to destroy it for both our sakes.",The Return of the King ,,,Other,Hobbits
249,GOLLUM,"NO! , Aaaaaaaaa.",The Return of the King ,TA 2430,"March 25 ,3019",Male,Hobbits
